PHRASE,MEANING
ring fencing,to create a separate legal entity through the way of off-shore accounting in order to protect some assets in a corporation.
rise and shine,to ask someone to wake up and become active in the daily chores.
rome was not built in one day,admirable results always take time.
run out of steam,to lose the effect that something once had.
scot-free,scotch free.
saved by the bell,to be saved from losing because there is a signal of the event coming to an end.
scapegoat,to be made to suffer or bear the punishment for someone else.
riding shotgun,to provide active aid to someone.
sixth sense,to have an intuition about something.
skid row,"a bad locality which houses flophouses, run down hotels and cheap salons."
smell something fishy,to have a suspicion that something is wrong.
son of a gun,to address someone in an affectionate way.
southpaw,to be left-handed.
start from scratch,to start doing something over from the beginning.
the bigger they are the harder they fall,to fail according to the size of the venture.
the last straw,to be the last in a sequence of unpleasant things.
third time's a charm,"to say that when a person tries to do something, it works out at the third attempt."
twenty-three skidoo,to depart in a haste.
up a blind alley,to be doing something that will definitely have a negative outcome.
wag the dog,to divert attention from something that is bad.
"when it rains, it pours",to have a good or bad news enlarged by circumstances.
wild and woolly,to be carrying a wild look.
wine and dine,to treat somebody (usually a woman) to wine and dinner;.
you can't take it with you,everybody leaves their wealth behind after death.
zero tolerance,"denial to allow rebellious activities, usually by rigid and strict application of the rules;."
self-made man,someone who achieves the success with his own hark work.
under no illusions,be completely conscious of the real status of situation.
roaring trade,to do business quickly.
cutting edge,to be among the latest and the best (often used for technological advancements).
ballpark figure,to be near about the exact (usually in amount).
rat race,"to be following a routine that is both, exhaustive as well as competitive."
upper hand,to have the authority to make decisions over someone or something.
stop by,to meet someone or go somewhere in a brief and informal manner.
must have,to be done in a compulsory manner.
come across,to meet someone.
way around,"to find an alternative for something, someone or to perform a task."
just in case,to do something as a precautionary measure.
race against time,effort to do something as soon as possible.
baker's dozen, not 12 in numbers but 13.
in the pipeline,to be underway.
make sense,to be able to reason something out.
building blocks,something that is a basic element (of the subject).
brought forward,to bring forth.
kill time,to wait for something by doing something or nothing.
surgical strike,to cause injury or damage to the intended targets.
take breath away,astonish; surprise; amaze or astound somebody.
made it,used to indicated the completion of a task.
you bet,for sure.
come what may,anything happens; whatever come about.
you've got to be kidding,implies that something that someone said is a joke.
young blood,new members that provide various new schemes and ideas for the organization.
you can say that again,used to agree with another person or group of people.
you know better than that,used to express disappointment when someone makes a mistake which they probably shouldn't have.
you wish,used to make a sardonic comment.
you can't win them all,indicates the reality that it is not possible to always succeed.
you've made your bed,to make a decision and to accept the consequences of those decisions.
yes man,a person who only agrees with the crowd or a group of people in order to please them or look good in front of them.
your call,to leave a decision on  another person.
prick ears up,listen carefully.
pig in a poke,something that is bought without examining properly.
zip your lip,to stop talking.
yellow streak,people who  have an inclination towards being fainthearted.
year-round,happening in continuation throughout the whole year.
unring the bell,"once something has been done you cannot run away from it, you can only face the aftermath."
Young Turk,a young person who has many new ideas and wants a reform.
zenith of career or life,the highest pinnacle of a person's career or life.
pedal to the metal,do something at full speed.
out on the town,go out and enjoy yourself at one or more places in the town.
on the same page,everyone in agreement.
on pins and needles,being anxious or nervous.
off the record,an informal or unofficial statement.
off the hook,free of a difficult situation.
off on the wrong foot,off to a bad start.
no room to swing a cat,a very small place.
no dice,not agree for something.
New York minute,in a very short amount of time.
nest egg,"an amount of money that has been saved, especially for future use."
mum's the word,keep quiet and say nothing.
loose cannon,somebody whose activities are uncommon and out of control.
like a chicken with its head cut off,act in a frenzied manner.
level playing field,a situation that is fair to everyone.
lend me your ears,ask for someone's full attention.
last but not least,"someone or something that is last in sequence, but not less in importance."
knock on wood (touch wood),tap knuckle on wood in order to avoid bad luck.
knee jerk reaction,an automatic response to something.
keep body and soul together,manage to stay alive with very little money.
it's anyone's call,a competition where the outcome is difficult to predict or judge.
in your face,"a bold, defiant or aggressive manner."
in the buff,naked.
every nook and cranny,to look for something everywhere.
in the bag,have something as good as secured or certain.
idle hands are the devil's tools,"if you have nothing to do, you are likely to do some mischief."
icing on the cake,when something good is added to another good thing that you already have.
going to hell in a handbasket,in extremely bad state and becoming worse.
lose head,not have control over your emotions.
haste makes waste,"if you do things too quickly, you can make mistakes."
gut feeling,"a personal, intuitive feeling."
great minds think alike,thoughts of very intelligent people are similar to each other.
good Samaritan,someone who tries to help people in trouble or need.
go for broke,risk everything and go for an all out effort.
go down like a lead balloon,be poorly received by an audience.
give the slip,to get away.
get over it,accept something and move on.
get down to brass tacks,talk about the important things.
rags to riches,go from being very poor to being very wealthy.
foam at the mouth,be extremely angry.
flip the bird,show someone the middle finger as an act of contempt or anger.
flash in the pan,"something that cannot be repeated, usually a positive concept."
field day,have a great time doing something enjoyable.
everything but the kitchen sink,almost everything that one can think of.
drop like flies,many people falling ill or dying around the same time.
down to the wire,a situation where the outcome is not decided until the very end.
don't look a gift horse in the mouth,don't be ungrateful when you receive a gift.
curiosity killed the cat,too much curiosity can lead to dangerous situations.
cup of joe,a cup of coffee.
come hell or high water,come what may.
blood is thicker than water,family relations and bonds are closer than other relationships.
"close, but no cigar",be very close to accomplishing a goal but fall short.
chow down,"to eat something, usually quickly or vigorously."
beat around the bush,avoid talking about the main topic.
all Greek to me,used to convey that you cannot understand what is being said or written.
all bark and no bite,"threatening, aggressive, but not willing to engage in a fight."
toss-up,a situation where the result is unclear and can go either way.
a bird in the hand is worth two in the bush,what you already have is more valuable than the prospect to have something greater.
ask out,"invite someone to go out, especially on a date."
end of story,there is  nothing more to add to the matter under discussion.
joined at the hip,two people who are inseparable.
dog days,"hot, sultry days."
hard cheese,"bad luck, tough luck."
salad days,"the time of youth, innocence and inexperience."
love child,a child born out of wedlock.
sealed with a kiss,written and sent with love and care.
no love lost,there is a mutual dislike between two people.
love to death,love someone very much.
the course of true love never did run smooth,people in love often have to overcome difficulties in order to be with each other.
one cannot love and be wise,people often do foolish things when they are in love.
all is fair in love and war,in situations of love and war you do not have to obey rules of reasonable behaviour.
an item,be involved in a romantic relationship.
labour of love,"a task done for the pleasure of doing it, not for gains or rewards."
match made in heaven,a combination of two people that is perfect in every way.
pop the question,propose marriage to someone.
double date,a date on which two couples go together.
those three little words,"the three words ""i love you""."
walk out on,end a relationship with someone suddenly.
leave at the altar,decide not to marry someone at the very last moment.
break up | split up,end a romantic relationship with someone.
kiss and make up,to become friendly again after an argument.
wear heart on sleeve,display your emotions openly.
let your heart rule your head,do something based on emotions rather than logic.
beauty is in the eye of the beholder,different people have different ideas and views about what is beautiful.
love is blind,"if you love someone, you cannot see the faults in that person."
"marry in haste, repent at leisure","if you marry someone without knowing the person well, you will later regret your decision to marry."
love rat,"someone, usually a man, who has a secret affair while being in a relationship."
every picture tells a story,scene of happening that explains hidden reality.
stormy relationship,a relationship with many disagreements.
one stop shop,a store that fulfills various requirements which is preferable by customers.
eat humble pie,to become very humble in behaviour when someone points out a wrong doing by the person.
keep schtum,to be quiet when one knows that if the wrong thing is said then there will be more trouble.
beyond the pale,something that is not an acceptable way to behave.
on the rocks,likely to fail because of serious problems.
can't stand the sight of,to hate someone very much.
blazing row,a very angry argument.
go through a rough patch,to experience a lot of problems in a period of life.
tie the knot,to get married.
get hitched,to get married.
cupboard love,affection given in order to gain a reward.
whet one's appetite,"a stimulation that causes you to want additional of something, mostly food."
veg out,to stop working hard.
fancy free,something or someone who has no commitments or ties.
love of life,the person who is loved most by someone in all their life.
puppy love,"a mild infatuation, or a crush."
chew the fat,to have friendly banter for hours on end.
love nest,a home or place where two people who love each other live.
bob's your uncle,it is said after a set of instructions are provided and one wants to convey that the work will be simple for the other person to do.
born with a silver spoon in mouth,to be born to parents who are rich and have a good social rank.
i'll eat my hat,this is an expression of not believing something very strongly.
as nice as ninepence,a place that is very well organized.
"if wishes were horses, beggars would ride",to wish for things does not yield to anything.
smitten with,suddenly start to like or love someone very much.
have eyes only for,be attracted to someone exclusively.
"wear off, out",something that deteriorates or changes by wearing.
head over heels,"fall deeply and completely in love, especially suddenly."
lovey-dovey,showing lot of love or affection.
red letter day,a day of significance.
pin money,a small amount.
fall for,to be attracted romantically to a person.
go steady,have a romantic relationship with someone.
have the hots for,be very sexually attracted to someone.
hissy fit,to throw a tantrum.
save face,to be able to hide public disgrace by taking some action.
quality time,well spent time.
lie low,"to go out of sight, usually after having done something bad."
go out with,have a romantic relationship with someone.
paddle own canoe,to be able to act without having to depend on anyone.
keen as mustard,very excited and enthusiastic.
crush,feel love-sick for someone.
catch eye,be noticed by someone.
fall in love,to be very attracted to someone.
harp on,to speak in a boring tone.
in a trice,"in the moment, instantly."
jot or tittle,a very small amount.
year dot,a long time back.
old hat,someone who is old fashioned. the phrase can directly refer to old fashion too.
a little bird told me,it is used when a person is trying to hide the source of his information.
night owl,someone who is vigilant late at night.
shilly-shally,to be undecided.
filthy rich,someone who is rich beyond measure.
love at first sight,strong and immediate attraction to someone you have just met.
tall story,a story that cannot be believed easily.
class clown,a wiseacre.
dead ringer,a duplicate of the exact nature.
slap on the wrist,to show disapproval.
happy as a clam,to be very happy.
as bald as a coot,totally bald.
well read,well-educated and learned.
laughing stock,something ridiculous which can be laughed upon.
mumbo jumbo,something that does not make sense.
long in the tooth,to get too old for something.
"all singing, all dancing","something that is full of verve, vivacity and liveliness."
as easy as pie,an easy thing.
flesh and blood,"this phrase refers to direct family members, people that share a dna, that is, flesh and blood."
high on the hog,someone who is used to luxury.
know the ropes,to know all the ways and means to get something done.
dry run,a rehearsal before the actual performance.
Van Gogh's ear for music,van gogh was a painter who cut his ear off and this phrase is a pun intended one referring to being tone deaf.
doozy,it is something that is unique.
a whale of,very big (piece) of something.
clam up,refusal to talk further or reply.
fish for a compliment,it refers to an attempt to make someone say something nice to you or about you.
turn turtle,it refers to something turning upside down.
as calm as a toad in the sun,to be very calm in a situation that can be unnerving.
basket case,a person or a thing that is not able to function properly.
bug someone,to bother or irritate someone.
green around the gills,someone who looks sick or nauseated.
use your loaf,to tell someone to use their brain more in analysing what they are doing.
sick as a dog,to be very sick.
hive of activity,a very busy place.
bug-eyed,the bulging of the eyes out is known as being bug eyed.
stir up a hornet's nest,to create trouble.
not hurt a fly or flea,"to not be able to cause harm to anyone, including even a tiny and insignificant insect."
drink like a fish,"this phrase means to drink heavily, which becomes worrisome."
a penny saved is a penny earned,this phrase advises people to be cautious of their money and have savings.
a rolling stone gathers no moss,it is difficult for a wanderer to be able to flourish.
a little knowledge is a dangerous thing,gaining some knowledge can make a person believe that they have now become experts in that field.
a miss is as good as a mile,"this phrase points to the fact that regardless of how badly (or not) someone missed the target, it is a miss after all."
a nod is as good as a wink,this phrase refers to passing signals to convey a message. this signal can be subtle for those who want to understand it.
a cat may look at a king,someone who is inferior in any form is not totally restricted in how they behave in front of a superior.
a drowning man will clutch at a straw,it refers to the desperate measures that someone in need may make in order to come out of the situation.
a little of what you fancy does you good,it is a coveted way of addressing the benefits that one derives out of having sex.
a golden key can open any door,the prospect of receiving money will end up in getting any task accomplished.
a good man is hard to find,this proverb refers to women who are looking for suitable alliances but aren't able to find them.
a friend in need is a friend indeed,used for a person who helps at the time of a requirement is a true friend.
X Factor,an outstanding extraordinary ability.
fate worse than death,it means to have to suffer through ordeal that makes a person prefer death over going through it again.
have never had it so good,"it literally means what it says, that is, a person has not had better of whatever it is that is being discussed before."
man's best friend,"it refers to animals that are of use to human beings, mostly used to address dogs."
dish fit for the gods,this refers to food that is of an exemplary quality.
call of the wild,it talks about nature appealing to a person.
fish rots from the head down,it refers to failing organizations and how the blame of it should be on its 'head' that is its leadership.
fool's paradise,this phrase refers to someone who becomes happy at hopes provided based on false facts.
face the music,receive punishment.
ring a bell,something that sounds familiar.
pitch in,join in and help with something.
diamond is forever,it is the slogan of the popular diamond seller de beers.
call a spade a spade,this phrase means to say something the way it is.
feather in your cap,it means to have an achievement in your name.
Kangaroo court,it refers to a court that passes judgement but is not a valid court.
before one can say Jack Robinson,very suddenly.
baby blues,the depression that is caused to new mothers after childbirth.
cold turkey,in a unexpected and sudden way.
sit tight,wait patiently.
a bunch of fives,this phrase refers to the human fist where the bunch of fives literally point out to the five digits.
a chain is only as strong as its weakest link,"this proverb means what it states, literally."
ginger up,to cheer up a group or any activity.
as mad as a hatter,it refers to someone being completely crazy.
name is mud,it means that the person is extremely unpopular.
lose touch,fail to keep in contact.
scratch back,do someone a favour hoping that a favour will be returned.
at sea,it means to be confused or not understand something at all.
at stake,"it means to be on wager or bet, when there is some sort of uncertainty."
a leopard can't change his spots,one cannot change who they are.
a house divided against itself cannot stand,things will work out when there is unity amongst those people that are involved in the task.
a fool and his money are easily parted,this meaning is as it literally states. someone who is foolish can easily lose their money as it would be easy to dupe them out of it.
hold your horses,to wait.
drive up the wall,to make someone angry or irritated.
twist arm,to make someone do what you want by making it difficult for them to refuse.
against the clock,in a great hurry to finish something before a particular time.
break a leg,good luck.
flog a dead horse,waste energy on something that has no chance of succeeding.
you are what you eat,"if you eat good food you will be healthy, if you eat bad food you will be unhealthy."
tongue in cheek,"something said in humour, but with an act of being serious."
water under the bridge,past events that are not important anymore.
pull leg,tease someone.
rule of thumb,a principle that is kept to.
smell a rat,sense that something is not right.
spitting image,look exactly like someone else.
until the cows come home,for a very long time.
over the top,"excessive, exaggerated."
kick the bucket,to die.
keep an eye on,keep a watch on something or someone closely.
"if it's not one thing, it's the other",everything is going wrong.
set in ways,leading a fixed lifestyle.
when pigs fly,pigs might fly.
find feet,become familiar with a new situation.
cut to the chase,come to the point.
between a rock and a hard place,having two very bad choices.
it's a small world,meeting someone not expected to be at a certain place.
chip on shoulder,holding a grudge or grievance.
jump the gun,"start something too soon or early, especially without thinking."
over the moon,extremely pleased or happy.
hit the books,to study very hard.
stone's throw,a short distance.
let the chips fall where they may,"let something happen, no matter what happens after that."
tickled pink,excited and happy.
blow away,impress someone very much.
couldn't care less,total lack of interest in something.
sell someone out,to betray someone.
running on fumes,to continue doing something even when you have no energy left.
go the extra mile,to make an extra effort.
hang in there,"wait, be patient till things work out."
come out swinging,be confrontational.
shoot from the hip,"speak directly or bluntly, without caring for consequences."
tar with the same brush,to think that somebody has the same bad qualities as others in a similar surrounding.
go down in flames,to fail spectacularly.
cut somebody some slack,give additional freedom to someone.
leave no stone unturned,do everything that is possible in order to achieve something.
your guess is as good as mine,i don't know.
pull yourself together,to calm down and behave normally after an upsetting event.
pull a rabbit out of the hat,do something unexpected or surprising.
by the skin of your teeth,barely manage to do something.
wouldn't be caught dead,dislike something very much.
whole nine yards,"everything, all of something."
straight from the horse's mouth,from a dependable or reliable source.
taste of own medicine,when someone gets the same bad treatment that he has been giving others.
take with a grain of salt,to understand that something is not completely true or right.
steal thunder,take credit for someone else's work.
speak of the devil,when someone comes in unexpectedly while being talked about.
a whole raft of,a large collection of something.
part brass rags,quarrel and break off friendship with someone.
read the riot act,warning someone by scolding them to improve their behavior.
ray of sunshine,someone or something that brings hope into the lives of others.
not playing with a full deck,not mentally sound.
a picture is worth a thousand words,a picture conveys information more effectively than words.
pull the wool over eyes,to deceive someone.
see eye to eye,to agree fully with someone.
sit on the fence,delay or avoid making a decision or choice.
make a long story short,abbreviate a long explanation into a short one.
miss the boat,miss a chance.
method to madness,a purpose in doing something that is seemingly crazy.
all ears,saying that you are all ears means the other person has got your full attention in terms of listening to him.
Queensberry rules,standard rules of polite or acceptable behavior.
qui vive,on the alert or lookout.
rack your brains,put great effort to think of or remember something.
live at rack and manger,in between plenty and abundance.
let sleeping dogs lie,its best to leave a situation as it is if disturbing it might cause trouble.
kill two birds with one stone,accomplish two different things at the same time.
balancing act,an action that needs a fine balance between different conditions or wishes.
takes two to tango,certain actions or activities cannot be performed alone - they  need two people to participate.
hit the nail on the head,be accurately right about something.
in the heat of the moment,saying or doing something without thinking due go anger or excitement.
wash hands of,abandon taking responsibility for someone or something.
warn off,inform someone forcefully to stay at a distance.
make a virtue of necessity,extract something beneficial from an unwelcome obligation.
viper in bosom,a person who deceives you after receiving help from you.
far cry from,something that is very different from something else.
hear on the grapevine,to hear rumours about something.
under the weather,to be ill or feel ill.
don't put all your eggs in one basket,don't make everything dependent on one thing.
drastic times call for drastic measures,extreme circumstances can only be resolved by equally extreme actions.
don't give up the day job,a usually humorous way of telling someone not to pursue something full time as he or she is not good at it.
cut the mustard,to succeed.
devil's advocate,one who presents a counter argument.
don't count your chickens before they hatch,do not count on something that has not yet happened.
turn the tables,change your position with respect to someone else.
tall poppy,a privileged or distinguished person.
in tandem,one after another.
to a T,done precisely.
monkey business,silly act.
accidentally on purpose,performing an action intentionally and pretending to either oneself or to the world that as an accident.
add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse."
backseat driver,co-passenger who unnecessarily criticizes the driver while himself doing nothing.
can't judge a book by its cover,outward appearance cannot be an indicator of someone or something's value or worth.
caught between two stools,"come between two alternatives, and so fail to fulfill either of them."
take name in vain,use someone's name in a way that shows a lack of respect.
yesterday's man,someone especially a politician whose career is finished.
be up on,be well informed about a matter or subject.
on one's uppers,extremely short of money.
cry over spilt milk,to be upset about things that have already been done.
upper crust,"the aristocracy and upper classes, informal."
uncle Tom Cobley and all,used to denote a long list of people (in british english).
late unpleasantness,the war that took place recently.
ugly duckling,a young person who turns out to be beautiful or talented against all expectations.
variety is the spice of life,new and exciting practices make life more attractive.
vale of years,the decreasing time of a individual's life.
spin a yarn,to tell a tale.
belly up,to die.
save your breath,to not waste effort on something that has no outcome.
have no truck with,avoid dealing or being associated with.
best thing since sliced bread,something that is too fine.
the best of both worlds,a win-win situation.
actions speak louder than words,what you do carries more weight than what you say.
add insult to injury,to make a bad situation worse.
penny for your thoughts,a way of asking what someone else is thinking.
hot potato,any subject which several folks are talking about and which is frequently argued.
banker's hours,short working hours.
fit as a fiddle,a very healthy person.
throw in the towel,to quit.
every cloud has a silver lining,there is something good in everything that's bad.
third wheel or fifth wheel,a person who is in a situation where they are not needed.
bell the cat,cat meaning: do a dangerous job. example: someone has to bell the cat and tell the commissioner that his own started the violence.
liquor up,get someone drunk.
take the edge off,blunt the effect of.
early days,it is too soon to make a judgment about something.
play by ear,learn music by ear.
play it by ear,improvise; act without preparation.
do the trick,successfully achieve a result.
deals with,be concerned with something.
just deserts,get what one deserves.
in high dudgeon,feeling or exhibiting great resentment.
dribs and drabs,in small irregular quantities.
drop a bombshell,"make an unexpected, startling or disturbing announcement."
double whammy,situation where two bad things happen at the same time.
on the dot,exactly on time.
dead end,"a street, corridor, road, pipe etc., that has no exit."
deja vu,already seen (literal meaning in french).
doldrums,be inactive.
wash dirty linen in public,discuss publicly matters that one should keep private.
in dire straits or need,experience difficult financial conditions or circumstances.
turn a deaf ear,choose not to hear.
throw dust in eyes,to mislead somebody.
well-to-do,rich and of good social status.
at a discount,ount meaning: – not valuable or not in worth – at a lower price than usual – below the nominal value – held in low esteem … read on.
dirt cheap,very cheap.
rough diamond,a person of exceptional character.
at death's door,on the point of dying.
on demand,when needed.
de facto,existing in fact.
de jure,having a right or existence as stated by law.
down in the dumps,a gloomy.
like or as a duck to water,s a duck to water meaning: – to do something very quickly and enjoy doing it – easily and naturally – to have a usual aptitude … read on.
a drop in the ocean,a very tiny part of something big.
drop a line,"ne meaning: – send a brief letter – to call over telephone – send an email, etc. – send any kind of moral short letter or … read on."
at the drop of a hat,at the slightest signal.
dressed to kill,"elaborately attired, dressed to draw attraction."
never in wildest dreams,a situation beyond the scope of one's imagination.
draw the line,to define a limit in anything.
down the drain,to waste something.
down the road,"road meaning: – at a future point or end – in the future, in a few years – dismissed, fired examples: 1. somewhere down the road … read on."
down and out,"out meaning: – homeless or penniless person – someone who has no home, no job and no money – poor and unlucky, bumming and boozing – … read on."
on doorstep,very near to where somebody lives.
dot the i's and cross the t's,"to take care of every detail, even minor ones."
till doomsday,"sday meaning: – for a very long time – for all time, – forever examples: 1. you could try to convince her till doomsday, but she will … read on."
done in,eaning: – be too tired to do any more – exhausted examples: 1. i was/felt really done in after the match. 2. you are really done … read on.
done for,to be over.
dog tired,very tired.
dog in the manger,one who prevents others from enjoying something despite having no use for it.
dog eat dog,a very competitive world.
dos and don'ts,onts meanings: – rules about what you must do and what you must not do in a specific condition – what is recommended or allowed and … read on.
do or die,a situation in which you must take a big risk in order to avoid failure.
treat like dirt,behave someone very badly without respect.
keep your chin up,be stalwart and courageous in a tough situation.
come a cropper,to not succeed at something.
a dime a dozen,something very common and not having much value.
dig heels in,to be firm and resolute about something.
dig up dirt,irt meaning: find derogatory information about something or somebody. example: no effort is being spared to dig up dirt on the rival candidate.
never say die," die meaning: stay optimistic, positive attitude. example: there are still a dozen of of job vacancies that she hasnt tried. never say die."
die in harness,to expire while working.
give the devil his due,"give credit to an opponent's merits, grudgingly or not."
deliver the goods,do what is required.
get a raw deal, deal meaning: unfair treatment. example: she got a very raw deal in terms of his fathers will: everything was left to her younger sister.
over my dead body,"in no way, under no circumstances."
dead and buried,buried meaning: no longer in use. example: us. and great britain wont stop their weapons until the terrorism is dead and buried from the earth.
"day in, day out","ay out meaning: every day, without respite. example: life feels too boring when you go to office for work day in, day out."
all in a day's work,refers to the work that is done regularly by someone.
win the day,ay meaning: win a war or a fight or competition etc. example: the opposition win the day in the debate over the judges impeachment.
call it a day,"stop doing something, especially working."
dark horse,"a little known, unexpectedly successful entrant."
put damper on,to discourage someone from doing something that they want to.
dance to tune,to do what someone else forces you to do.
at daggers drawn,almost ready to fight.
wouldn't dream of,"dream of meaning: not occur to one, not consider. example: even if it were lying on my desk, i wouldnt dream of taking another persons money."
down to earth,"decent, simple, realistic."
fingers crossed,a gesture of crossed fingers used to express good luck.
get foot in the door,"in the door meaning: succeed with a first step; achieve an initial stage. example: i know its not the job youd hoped for, but at least … read on."
out of one's depth,a situation beyond one's knowledge or ability.
in deep water,a very serious situation.
frighten or scare to death,or scare to death meaning: make somebody feel very frightened. example: a shadow appeared in the doorway and scared me to death.
not give a damn,to not care.
cross path,h meaning: meet somebody casually. example: he never crossed my path again since that incident 5 years before.
camp follower,"a person who is supportive of the cause, person or organisation."
come up with,to find a new thought.
come up,eaning: happen unexpectedly. example: he will not be able to attend the meeting if something else comes up.
come on,to request to hurry (something).
come to a head,to reach a point in a situation where action needs to be taken.
cost an arm and a leg,very expensive.
a cinch,an extremely easy task.
come to a pretty pass,a bad situation.
choke up,make a person become overemotional and speechless.
go through channels,to follow the correct steps in order to get something done.
head in the clouds,daydreaming or absentminded.
cash in,to earn out of something in big amounts.
creme de la creme,to be exclusive.
to the core,totally.
cut and dried,ready-made.
come again,to request someone to repeat what has just been told.
in a clover,"er meaning: prosperous, living well. example: after we earn a million in our new business of gold, well hopefully be in a clover."
chicken hearted,earted meaning: not brave. example: these chicken hearted bosses always seem to give in at the first sign of a strike.
volte face,to change beliefs (suddenly) from something to its complete opposite.
vice versa,a reverse in position.
vent spleen,to exhibit your rage.
quantum leap,to make a significant improvement or dramatic advancement.
"quote, unquote",to use a phrase which has been coined by someone else but saying it in disbelief.
queer pitch,spoil somebody's chance of doing something.
early bird,an early rising person.
Jack of all trades,someone who is competent at many things but does not excel at any of them.
the calm before the storm,an extremely peaceful atmosphere right before any serious incident or crisis.
cut and thrust,"furious contest, discussion, etc."
cry wolf,"to keep asking for help, even when you don't need it. when you really need help, no one believes you."
as the crow flies,in a straight line.
"easy come, easy go",readily won and readily lost.
behind closed doors,in clandestine.
in due course,quite soon in the future.
keep own counsel,say little or nothing about one's opinions or intentions.
in the cahoots,to do something in hiding or secret because it is morally or socially not acceptable.
cool heels,to wait or take rest.
come to pass,to happen.
come to grief,"rief meaning: fail, meet with disaster or failure. example: it would be a great pity to see all that sincere work come to grief."
feet of clay,lay meaning: have a flaw or weakness most people are unaware of. example: some of the greatest people in history had feet of clay.
chime in,to interject a remark.
cave in,"to fall for something, either literally or metaphorically."
carte blanche,to have complete authority.
call names,to insult someone.
cut down,to reduce the amount of something (usually bad).
off the cuff,in an unguarded way.
curry favour,seek to gain advantage by flattery.
cut corners,"economise on time, money, materials or effort, perhaps unwisely."
on cue,to happen at the precise moment.
take up the cudgels,argue strongly in support or against somebody or something.
crystal clear,"lear meaning: absolutely clear, easy to understand. example: the instructions for preparing the dish are crystal clear."
cup of tea,to like something.
full cry,to talk about a subject in an eager tone.
on the crest of a wave,to reach the highest point of success.
get cracking,to hurry something up.
blow cover,to reveal the true identity.
count chicken,make plans based on events that may or may not happen.
couch potato,a chronic television viewer.
wrap in cotton wool,to be overprotective towards somebody.
cool as cucumber,"be very calm and relaxed, particularly when it's astonishing."
to heart's content,to gain full satisfaction.
cold feet,loss of courage.
show true colors,to reveal what one is really like.
pour cold water on,deter or discourage somebody.
coin a phrase,as one might say.
under a cloud,under suspicion.
cock and bull story,"complicated, ridiculous, or unbelievable story."
cloud nine,very happy.
out of the closet,go public about something private or hidden.
clean sweep,an irresistible victory.
come clean,to make a disclosure.
round the clock,continuously or interrupted.
put the clock back,lock back meaning: change to a lower level or earlier time. example: the common rules in the company has put the clock back ten years.
cold comfort,"insufficient ease, sympathy, or encouragement."
clean slate,to wipe the past out and begin afresh.
Hobson's choice,given two options when in fact there is only one choice.
strike a chord,to trigger a strong memory or feeling based on which there can be a mutual interest.
when the chips are down,chips are down meaning: when a situation is urgent or desperate. example: shes the person you would like to have around when the chips are down.
charity begins at home,"the family comes first, and one should help their family before helping others."
throw caution to the winds,to take a decision without caring about the negative effects that come with it.
change of heart,change one's opinion or the way one feels about something.
catch-22,the particular situation in which one cannot win.
let the cat out of the bag,to let a secret out in the open.
castles in the air,thinking of some impossible task.
put the cart before the horse,to do things in the wrong order or sequence.
carrot and stick,mixture of rewards and punishments.
card up sleeve,to have a secret advantage that is suddenly revealed to change the game.
in the can,to be completed.
sell like hot cakes,be a great commercial success.
a piece of cake,very easy task.
crack of dawn,very early in the morning.
not have a clue,"a clue or havent a clue meaning: have no idea or inkling about something. example: i havent a clue why she left the job, suddenly."
on the case,to do what is the best course of action in the given situation.
can of worms,"to get into something that is messy, has problems and is unwanted."
burst at the seams,to be filled up to the brim.
beg to differ,to politely refuse something.
in the black,to not be in debt.
close the books,set the ending to a concerned issue.
betwixt and between,to be undecided about something.
by the way,incidentally.
break down,to stop working.
better off,to shun someone or something away so that it becomes better than before.
buzz word,a phrase that is used to describe a word or phrase that is popular in a group of people.
build bridges,to foster good relationships.
go by the book,"do things strictly according to the written rules, etc."
blue-collar,"of or relating to industrial work, especially the semiskilled and unskilled."
bee in bonnet,be possessed with one thought or scheme.
after blood,"to want to revenge or punish someone, because they have made you angry."
bitter medicine,something difficult to accept.
make it big,become very successful or famous.
belly laugh,to laugh uncontrollably.
take a beating,to be defeated in doing something and be reprimanded for the same.
stab in the back,a disloyalty.
bad-mouth,to say something bad about something.
mean business,to be focused about achieving a goal.
hide light under a bushel,to show modesty towards something or someone.
burn fingers,to bear an unpleasant result of an action that has been taken in the past.
at bottom,to the core of the object.
born yesterday,naive; inexperienced.
bona fide,"to be genuine, verified."
blue blood,a member of an upper-class family.
bird of passage,a transient.
butterflies in stomach,to feel very nervous and restless.
turn back on,choose not to speak to.
let bygones be bygones,what's done is done.
as busy as a bee,very busy.
on the back burner,to put something (that is to be done) for later.
burn the midnight oil,work long hours and hard.
take the bull by the horns,decisively deal with a difficult or dangerous situation.
bull in a china shop,"extremely awkward, clumsy person."
a fast (or quick) buck,earn money quickly and often in a way that is not honest or normal.
burn bridges,"remove someone's all options of retreat, act decisively."
bear the brunt of,to be bearing the main force that came from a blow.
bread and butter,to indicate what a person earns or earns for.
think outside the box,think out of the box.
make no bones about,"to talk openly about something, instead of being silent."
a bolt from the blue,a sudden and unexpected event or piece of news (typically annoying).
be in the same boat,be in the same unpleasant situation as other people.
blow hot and cold,to sometimes like or be interested in something or somebody and sometimes not.
once in a blue moon,very rarely.
new blood,young and active people.
in blood,meaning: part of ones genetic inheritance. example: the whole family is good in business; its in their blood.
blood on hands,be responsible for somebody's death.
new kid on the block,"a new arrival in a place, group or organization."
a blind alley,a dead end.
